P2033
  1:  1,0,Hauptmenue, bitte waehlen :   
  2:  2,1,Anzeige                       
  3:  2,0,Stoerungsverwaltung           
  4:  3,1,Stoerungsprotokoll            
  5:  3,1,akt. anstehende Stoerungen    
  6:  3,1,Stoerungsfreigabe             
  7:  3,1,Langzeitmeldeprotokoll        
  8:  3,1,Wiederkehrende Stoerungen     
  9:  2,0,Ein- Ausgaenge                
 10:  3,1,Analogeingaenge               
 11:  3,1,Analogausgaenge               
 12:  3,1,PWM-Ausgaenge                 
 13:  3,1,Digitalausgaenge              
 14:  3,1,Digitaleingaenge              
 15:  2,0,Kessel                        
 16:  3,1,Kessel Leistungsregelung      
 17:  3,1,Kessel Durchflussregelung     
 18:  3,1,Kesselparameter               
 19:  3,1,Kesseltoleranz Hauptkreis     
 20:  3,1,Kesselrangfolge               
 21:  3,1,Pumpenvorlauf erlaubt?        
 22:  3,1,Erhaltungsreg. Holzkessel1    
 23:  3,1,Erhaltungsreg. Holzkessel2    
 24:  3,1,Mindestoeffn K-Mi bei Anf (%) 
 25:  3,1,Position HauptkreisISTwert    
 26:  3,1,Betriebsart Biogaskessel      
 27:  2,0,BHKW                          
 28:  3,1,BHKW Betriebsprot. (Merlin)   
 29:  3,1,BHKW Parameter                
 30:  3,1,BHKW Betrieb ab VL >          
 31:  3,1,Min TCMAX (WW ueberladen,...) 
 32:  2,0,Biogas                        
 33:  3,1,Biogaskessel Ein ab Fuellst > 
 34:  3,1,Biogasfackel Ein ab Fuellst > 
 35:  2,0,Trocknung                     
 36:  3,1,Timer Trocknung Zwangsbetrieb 
 37:  3,1,Minwert Geblaese -Zwang- (%)  
 38:  3,1,MindestVL HK2 bei Trockn-Betr 
 39:  3,1,Trocknung Ein ab Puffer4 >    
 40:  3,1,Trocknung Zuluftsollwert      
 41:  3,1,Timer Trocknung Leisebetrieb  
 42:  3,1,Maxwert Geblaese -Leise- (%)  
 43:  3,1,Maxwert Geblaese -Normal- (%) 
 44:  2,0,Heizkreise                    
 45:  3,1,Heizkurven                    
 46:  3,0,Absenkung                     
 47:  4,1,Heizkreise Wochenkalender     
 48:  4,1,Heizkreise Jahreskalender     
 49:  3,1,HK-Pumpenregelung             
 50:  3,1,HK-Vorlaufregelung            
 51:  3,1,Heizkreisparameter            
 52:  3,1,Tau AT-Schnitt (h)            
 53:  3,1,AT-Schnitt (aktuell)          
 54:  3,1,Estrichtrocknung              
 55:  3,1,Jahreskal. HZG-AUS bei AT > 3 
 56:  2,0,Allgemein                     
 57:  3,0,Zaehler                       
 58:  4,1,Aktuelle Zaehlerstaende       
 59:  4,1,Monatszaehler                 
 60:  4,1,Jahreszaehler                 
 61:  4,1,Sonstige Zaehler              
 62:  3,0,M-Bus                         
 63:  4,1,M-Bus Werte                   
 64:  4,1,M-Bus Busdaten                
 65:  4,1,M-Bus Lesezyklus (s)          
 66:  3,0,Externe Einfluesse            
 67:  4,1,Ext. Einfluss Heizkreise      
 68:  4,1,Ext. Einfluss Kessel          
 69:  3,0,Ausloeseschwellen             
 70:  4,1,Gassensor analog (V)          
 71:  4,1,HZG-Druck-Warnschwellen (bar) 
 72:  3,1,Ueberheizung Hauptkreis (K)   
 73:  3,1,Hauptnutzungsdauer Heizung    
 74:  2,0,Systembereich                 
 75:  3,0,Abgleichen                    
 76:  4,1,Analogeingaenge abgleichen    
 77:  4,1,Analogausgaenge abgleichen    
 78:  4,1,Zaehleingaenge abgleichen     
 79:  4,1,Gasheizwert (Hu)              
 80:  3,1,Uhrzeit / Datum               
 81:  3,1,Zustand der EINGABETASTE      
 82:  3,1,Resetinfo                     
 83:  3,0,RTOS System                   
 84:  4,0,RTOS Systemmeldungen          
 85:  5,1,Ausgabekanal Systemmeldungen  
 86:  5,1,Systemmeldungen ausgeben      
 87:  4,1,geplanter RESET               
 88:  4,1,Einstellwerte neu initialis.  
 89:  4,1,Verzoegerung Tastatur (ms)    
 90:  4,1,Interv. Steigungsmessung (s)  
 91:  3,1,Status Relais (Handschalter)  
 92:  2,1,Schornsteinfegermenue         
