P2033   Biogasanlage Dralle  Hohne                       
14.11.2024   19:15:22
Stoerungen:     
 Nr Name             Freig.?    Dringed?    
  1 ---                   JA     NEIN 
  2 ---                   JA     NEIN 
  3 ---                   JA     NEIN 
  4 Warn HZG-Dr. MAX     NEIN    NEIN 
  5 Warn HZG-Dr. MIN     NEIN    NEIN 
  6 HZG-Notschalter       JA     NEIN 
  7 ---                   JA     NEIN 
  8 ---                   JA     NEIN 
  9 Holzk.1 Stoerung      JA     NEIN 
 10 Holzk.1 Rueckmeld.    JA     NEIN 
 11 Holzk.2 Stoerung      JA     NEIN 
 12 Holzk.2 Rueckmeld.   NEIN    NEIN 
 13 Biogask. Stoerung     JA      JA  
 14 Biogask. Rueckmeld.   JA     NEIN 
 15 ---                   JA     NEIN 
 16 ---                   JA     NEIN 
 17 Hauptkreis kalt       JA     NEIN 
 18 ---                   JA     NEIN 
 19 ---                   JA     NEIN 
 20 ---                   JA     NEIN 
 21 HK1 Nord kalt         JA     NEIN 
 22 HK2 West kalt         JA     NEIN 
 23 HK3 Sued kalt         JA     NEIN 
 24 ---                   JA     NEIN 
 25 ---                   JA     NEIN 
 26 ---                   JA     NEIN 
 27 ---                   JA     NEIN 
 28 ---                   JA     NEIN 
 29 ---                   JA     NEIN 
 30 Stoe PMP HK1 Nord     JA     NEIN 
 31 Stoe PMP HK2 West     JA     NEIN 
 32 Stoe PMP HK3 Sued     JA     NEIN 
 33 Stoe Druckhaltung     JA      JA  
 34 Biogas Fuellst. MAX   JA     NEIN 
 35 NOT-AUS Trockn.      NEIN    NEIN 
 36 ---                   JA     NEIN 
 37 ---                   JA     NEIN 
 38 ---                   JA     NEIN 
 39 ---                   JA     NEIN 
 40 ---                   JA     NEIN 
 41 ---                   JA     NEIN 
 42 ---                   JA     NEIN 
 43 ---                   JA     NEIN 
 44 ---                   JA     NEIN 
 45 ---                   JA     NEIN 
 46 ---                   JA     NEIN 
 47 ---                   JA     NEIN 
 48 ---                   JA     NEIN 
 49 ---                   JA     NEIN 
 50 ---                   JA     NEIN 
 51 ---                   JA     NEIN 
 52 ---                   JA     NEIN 
 53 ---                   JA     NEIN 
 54 ---                   JA     NEIN 
 55 ---                   JA     NEIN 
 56 ---                   JA     NEIN 
 57 ---                   JA     NEIN 
 58 ---                   JA     NEIN 
 59 ---                   JA     NEIN 
 60 ---                   JA     NEIN 
 61 ---                  NEIN    NEIN 
 62 System_reset          JA     NEIN 
 63 K EIN wg. Hauptk     NEIN    NEIN 
 64 HKxx STW VL           JA     NEIN 
 65 ---                   JA     NEIN 
 66 ---                   JA     NEIN 
 67 ---                   JA     NEIN 
 68 ---                   JA     NEIN 
 69 ---                   JA     NEIN 
 70 ---                   JA     NEIN 
 71 DATUM???              JA     NEIN 
 72 Pi/Monitor reset      JA     NEIN 
 73 Pi/Monitor aufgeh.    JA     NEIN 
